,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
208,75005020,75005,191/193 rue Saint-Jacques,1185.0,Université,Enseignement Supérieur,Public
209,75005021,75005,191/193 rue Saint-Jacques,1185.0,Université,Enseignement Supérieur,Public
210,75005022,75005,195 rue Saint Jacques,1123.0,Autre,Enseignement Supérieur,Privé
211,75005031,75005,12 place du Panthéon,4514.0,Université,Enseignement Supérieur,Public
212,75005037,75005,31 rue Gay Lussac,674.0,Université,Enseignement Supérieur,Public
213,75005044,75005,8 rue de la Sorbonne,164.0,Université,Enseignement Supérieur,Public
214,75005045,75005,16 rue de la Sorbonne,275.0,Université,Enseignement Supérieur,Public
215,75005048,75005,15 rue Champollion,276.0,Université,Enseignement Supérieur,Public
216,75005055,75005,18/26 rue Lhomond,9133.0,Grand Etablissementt,Enseignement Supérieur,Public
217,75005060,75005,2bis rue Valette,495.0,Université,Enseignement Supérieur,Public
218,75005061,75005,4 rue Valette,4563.0,Université,Enseignement Supérieur,Public
219,75005064,75005,1 Place Alphonse Lavéran,9532.0,Autre,Défense,Public
220,75005074,75005,103 bd Saint Michel,1202.0,Autre,Enseignement Supérieur,Public
221,75005075,75005,113 bd Saint Michel,257.0,Grand Etablissementt,Enseignement Supérieur,Public
222,75005089,75005,6  rue Jean Calvin,1184.0,Grand Etablissementt,Enseignement Supérieur,Public
223,75006001,75006,60/62 bd Saint Michel,10254.0,Grande Ecole (conférence),Economie,Public
224,75006002,75006,2 avenue de l'Observatoire,15275.0,Grande Ecole (conférence),1er Ministre,Public
225,75006012,75006,101 bd Raspail,1206.0,Autre,Enseignement Supérieur,Privé
226,75006013,75006,105 bd Raspail,1988.0,Grand Etablissementt,Enseignement Supérieur,Public
227,75006018,75006,5/15 rue de l'Ecole de Médecine,14504.0,Université,Enseignement Supérieur,Public
228,75006031,75006,5 rue Garancière,1061.0,Université,Enseignement Supérieur,Public
229,75007005,75007,13 avenue Bosquet,808.0,Université,Enseignement Supérieur,Public
230,75007006,75007,7 rue Saint Dominique,802.0,Grande Ecole (conférence),Défense,Public
231,75007016,75007,28 rue des Saints Pères,3676.0,Grand Etablissementt,Enseignement Supérieur,Public
232,75007017,75007,197/199 bd Saint Germain,2730.0,Grand Etablissementt,Enseignement Supérieur,Public
233,75008001,75008,14 rue de Madrid,1803.0,Autre,Culture,Public
234,75009001,75009,"12 bis, rue de la Victoire",942.0,Grande Ecole (conférence),Enseignement Supérieur,Privé
235,75010003,75010,2/14 rue Ambroise Paré,52011.0,Université,Enseignement Supérieur,Public
236,75010010,75010,26 /30 rue de Paradis,3710.0,Université,Enseignement Supérieur,Public
238,75011001,75011,15 rue de la Fontaine au Roi,1129.0,Grande Ecole (conférence),Enseignement Supérieur,Public
239,75011008,75011,15 rue de la Fontaine au Roi,1129.0,Grande Ecole (conférence),Enseignement Supérieur,Public
240,75012009,75012,63 rue de Charenton,935.0,Autre,Justice,Privé
241,75013003,75013,95/109 rue de Tolbiac,4921.0,Université,Enseignement Supérieur,Public
242,75013004,75013,90/98 avenue de France,3769.0,Université,Enseignement Supérieur,Public
243,75013007,75013,23/23 bis avenue d'Italie,3519.0,Université,Enseignement Supérieur,Public
248,75014010,75014,266 boulevard Raspail,549.0,Autre,Enseignement Supérieur,Privé
249,75014013,75014,61 avenue de L'Observatoire,29499.0,Grand Etablissementt,Enseignement Supérieur,Public
250,75014015,75014,68/90 rue de la Santé,65790.0,Autre,Santé,Public
251,75014017,75014,26/26b rue du Faubourg Saint Jacques,492.0,Université,Enseignement supérieur,Public
252,75014018,75014,26/26b rue du Faubourg Saint Jacques,492.0,Université,Enseignement supérieur,Public
253,75014019,75014,38 rue du Faubourg Saint Jacques,4092.0,Autre,Culture,Privé
254,75015004,75015,145/151 rue de Sèvres,57679.0,Autre,Santé,Public
255,75015007,75015,140 rue de Lourmel,29653.0,Université,Enseignement Supérieur,Public
256,75017006,75017,22 boulevard du Fort de Vaux,930.0,Grande Ecole (conférence),Enseignement Supérieur,Privé
257,75018006,75018,6 rue Francoeur,2059.0,Autre,Culture,Public
258,75019005,75019,10 rue Riquet,10375.0,,,
300,75003004,75003,11 rue Dupetit-Thouars,1579.0,Autre,Enseignement Supérieur,Ville de Paris
301,75005002,75005,1/3 rue d'Ulm,791.0,Université,Enseignement Supérieur,Public
302,75005006,75005,9/11 rue Pierre et Marie Curie,5471.0,Université,Enseignement Supérieur,Public
303,75005008,75005,29 rue d'Ulm,2507.0,Grand Etablissementt,Enseignement Supérieur,Public
304,75005010,75005,44/48 rue d'Ulm,4006.0,Grand Etablissementt,Enseignement Supérieur,Public
305,75005012,75005,17 rue de la Sorbonne,20957.0,Université,Enseignement Supérieur,Public
306,75005013,75005,17 rue de la Sorbonne,20957.0,Université,Enseignement Supérieur,Public
307,75005014,75005,17 rue de la Sorbonne,20957.0,Université,Enseignement Supérieur,Public
308,75005017,75005,45 rue des Ecoles,20957.0,Grand Etablissementt,Enseignement Supérieur,Public
309,75005023,75005,212 rue Saint Jacques,938.0,Université,Enseignement Supérieur,Public
310,75005029,75005,10 place du Panthéon,4095.0,Université,Enseignement Supérieur,Public
311,75005032,75005,2/4 place Jussieu,31944.0,Université,Enseignement Supérieur,Public
312,75005040,75005,31/39 avenue Georges Bernanos,3974.0,Autre,Enseignement Supérieur,Public
313,75005051,75005,1 rue Thénard,2076.0,Université,Enseignement Supérieur,Public
314,75005069,75005,16 rue Claude Bernard,8347.0,Grande Ecole (conférence),Agriculture,Public
315,75005070,75005,1 rue Descartes,25326.0,Grande Ecole (conférence),Défense,Public
316,75005072,75005,6  rue Jean Calvin,1184.0,Université,Enseignement Supérieur,Public
317,75005073,75005,2/4  rue Jean Calvin,218.0,Université,Enseignement Supérieur,Public
318,75005083,75005,6  rue Jean Calvin,1184.0,Grand Etablissementt,Enseignement Supérieur,Public
319,75005086,75005,1 rue Descartes,25326.0,Grande Ecole (conférence),Défense,Public
320,75006005,75006,28 rue Notre-Dame des Champs,25797.0,Grande Ecole (conférence),Education Nationale,Privé
321,75006007,75006,54 bd Raspail,3614.0,Grand Etablissementt,Enseignement Supérieur,Public
322,75006019,75006,5/15 rue de l'Ecole de Médecine,14504.0,Université,Enseignement Supérieur,Public
323,75006023,75006,117 bd Saint-Germain,539.0,Grand Etablissementt,Enseignement Supérieur,Public
324,75006024,75006,56 rue Jacob,774.0,Grand Etablissementt,Enseignement Supérieur,Public
325,75006029,75006,9 rue Michelet,340.0,Université,Enseignement Supérieur,Public
326,75006030,75006,45 rue des Saints-Pères,13734.0,Université,Enseignement Supérieur,Public
327,75006035,75006,4 rue Blaise-Desgoffes,316.0,Université,Enseignement Supérieur,Public
330,75007003,75007,28 rue Saint Guillaume,1339.0,Université,Enseignement Supérieur,Public
331,75007010,75007,46 rue de Lille,272.0,Grand Etablissementt,Enseignement Supérieur,Public
332,75007011,75007,11 rue de l'Université,1938.0,Grand Etablissementt,Enseignement Supérieur,Public
333,75007015,75007,69 quai d'Orsay,469.0,Grand Etablissementt,Enseignement Supérieur,Public
334,75007018,75007,215 bd Saint-Germain,1243.0,Grand Etablissementt,Enseignement Supérieur,Public
335,75007019,75007,222/224 bd Saint Germain,117.0,Grand Etablissementt,Enseignement Supérieur,Public
336,75010005,75010,1 avenue Claude Vellefaux,60026.0,Autre,Santé,Public
337,75010011,75010,26 /30 rue de Paradis,3710.0,Université,Enseignement Supérieur,Public
338,75012001,75012,25/27 rue Chaligny,2787.0,Université,Enseignement Supérieur,Public
339,75012003,75012,1/55 rue du Docteur Arnold  Netter,10530.0,Autre,Santé,Public
340,75012004,75012,8/28 rue du Docteur Arnold  Netter,25560.0,Autre,Santé,Public
